英単語(cluster)	発音記号	意味	例文（ほとんど同じ単語を使用したもの）	例文（少し単語を変更したもの）	補足説明（1単語の意味や一緒に覚えたほうが良い単語等）	セクション
grow up to be a man [woman]	groʊ ʌp tu bi ə mæn [ˈwʊmən]	成長して立派な男性（女性）になる	The boy will grow up to be a strong man.	She grew up to be a doctor.	grow up to be: 成長して〜になる（結果を表す不定詞）。	性格／態度
marry for love	ˈmɛri fɔr lʌv	愛のために結婚する	She refused the rich man and chose to marry for love.	They didn't marry for money, they married for love.	marry: 結婚する（他動詞）。	人生
get pregnant	gɛt ˈprɛgnənt	妊娠する	She recently got pregnant with her first child.	It is difficult to travel when you get pregnant.	pregnant: 妊娠している	人生
have a baby	hæv ə ˈbeɪbi	赤ん坊を産む（持つ）	My sister is going to have a baby next month.	They had a baby last year.	have a baby: 出産する（give birth to と同義）。	人生
pass away	pæs əˈweɪ	亡くなる	My grandfather passed away peacefully in his sleep.	She passed away after a long illness.	pass away: （die の丁寧な言い方）亡くなる。	人生
a birth certificate	ə bɜrθ sərˈtɪfɪkət	出生証明書	You need a birth certificate to get a passport.	He lost his birth certificate.	birth: 誕生。certificate: 証明書	人生
be alive and well	bi əˈlaɪv ænd wɛl	健在である（生きて元気である）	I am glad to hear that he is alive and well.	The lost dog was found alive and well.	alive: 生きている。well: 健康で	人生
live apart from each other	lɪv əˈpɑrt frʌm itʃ ˈʌðər	お互い離れて暮らす	The couple had to live apart from each other for work.	They live apart from their parents.	apart from: 〜から離れて	人生
quarrel with her	ˈkwɔrəl wɪð hɜr	彼女と口論する（喧嘩する）	I don't want to quarrel with her over silly things.	He often quarrels with his brother.	quarrel: 口論する（argument より感情的な喧嘩）。	人生
spoil a child	spɔɪl ə tʃaɪld	子どもを甘やかす	Grandparents often spoil a child with gifts.	Don't spoil a child too much.	spoil: （子どもを）甘やかす、（物を）台無しにする	人生
be proud of myself	bi praʊd ʌv maɪˈsɛlf	自分自身を誇りに思う	I worked hard, so I can be proud of myself.	She is proud of her son.	be proud of: 〜を誇りに思う	人生
rejoice at good news	rɪˈdʒɔɪs æt gʊd nuz	良い知らせを喜ぶ	We all rejoice at good news of your success.	They rejoiced at the victory.	rejoice at: 〜を大いに喜ぶ	人生
overcome financial problems	ˌoʊvərˈkʌm fəˈnænʃəl ˈprɑbləmz	財政的な（お金の）問題を乗り越える	The company struggled to overcome financial problems.	He overcame his fear of heights.	overcome: 克服する、乗り越える（過去形 overcame）。	人生
dreams of future glory	drimz ʌv ˈfjutʃər ˈglɔri	未来の栄光の夢	The young athlete had dreams of future glory.	He fought for the glory of his country.	glory: 栄光、名誉	人生
an elderly widow	ən ˈɛldərli ˈwɪdoʊ	年老いた未亡人	An elderly widow lives in that large house.	She became a widow ten years ago.	elderly: 年配の（old より丁寧）。widow: 夫を亡くした女性（未亡人）。	人生
age rapidly	eɪdʒ ˈræpɪdli	急速に年をとる（老ける）	Stress can cause you to age rapidly.	He has aged rapidly over the past few years.	age: 年をとる（動詞）。rapidly: 急速に	人生
retire from my company	rɪˈtaɪər frʌm maɪ ˈkʌmpəni	自分の会社を退職する	I plan to retire from my company next year.	He retired from baseball at 40.	retire from: 〜を退職する、引退する	人生
attend a funeral	əˈtɛnd ə ˈfjunərəl	葬式に参列する	Many people gathered to attend a funeral.	He wore a black suit to attend a funeral.	attend: 出席する。funeral: 葬式	人生
bury in a grave	ˈbɛri ɪn ə greɪv	お墓に埋葬する	They will bury him in a grave near his hometown.	The dog buried a bone in the yard.	bury: 埋める（発音は「ベリー」）。grave: 墓	人生
feel relief and happiness	fil rɪˈlif ænd ˈhæpinəs	安堵と幸福を感じる	I felt immense relief and happiness when the test was over.	To my relief, he was safe.	relief: 安心、安堵（relieve の名詞形）。	人生
husband / wife	ˈhʌzbənd / waɪf	夫 / 妻	A good husband and wife support each other.	He is a loving husband.	夫婦は a married couple や husband and wife と表現する。	家族／友人
brother-in-law / sister-in-law	ˈbrʌðər-ɪn-lɔ / ˈsɪstər-ɪn-lɔ	義理の兄弟 / 義理の姉妹	My brother-in-law helped me move to a new house.	She went shopping with her sister-in-law.	-in-law: 法律上の（＝結婚によって親戚になった義理の）。	家族／友人
father-in-law / mother-in-law	ˈfɑðər-ɪn-lɔ / ˈmʌðər-ɪn-lɔ	義父（舅） / 義母（姑）	I have a good relationship with my mother-in-law.	His father-in-law is a doctor.	配偶者の両親のこと。複数形は fathers-in-law のように名詞部分に s をつける。	家族／友人
nephew / niece	ˈnɛfju / nis	甥（おい） / 姪（めい）	My nephew and niece are coming to visit.	He gave a present to his nephew.	兄弟姉妹の息子がnephew、娘がniece。	家族／友人
a close friend / a good friend / my best friend	ə kloʊs frɛnd / ə gʊd frɛnd / maɪ bɛst frɛnd	親しい友人 / 良い友人 / 一番の親友	She is a close friend of mine.	I went shopping with my best friend.	親密度の度合いによって使い分ける定番の表現。	家族／友人
depend on my parents	dɪˈpɛnd ɑn maɪ ˈpɛrənts	両親に頼る（依存する）	I still depend on my parents for money.	You shouldn't depend on others too much.	depend on: 〜に頼る、〜次第である（rely on と同義）。	家族／友人
disappoint my family	ˌdɪsəˈpɔɪnt maɪ ˈfæməli	家族をがっかりさせる	I failed the test and disappointed my family.	He doesn't want to disappoint his boss.	disappoint: がっかりさせる、失望させる	家族／友人
his elder sister	hɪz ˈɛldər ˈsɪstər	彼の姉	His elder sister is a doctor.	My elder brother lives in Tokyo.	elder: 年上の（家族内で使うことが多い）。older sisterでも可。	家族／友人
cultivate friendly relationships	ˈkʌltəˌveɪt ˈfrɛndli rɪˈleɪʃənˌʃɪps	友好的な関係を築く（育む）	It is important to cultivate friendly relationships at work.	He cultivates relationships with clients.	cultivate: （関係を）育む、（土地を）耕す。	家族／友人
my dear aunt and uncle	maɪ dɪr ænt ænd ˈʌŋkəl	親愛なるおばとおじ	I received a letter from my dear aunt and uncle.	My uncle lives in Canada.	aunt: おば。uncle: おじ。	家族／友人
his cousin Maria	hɪz ˈkʌzən məˈriə	彼のいとこのマリア	He played tennis with his cousin Maria.	My cousin is the same age as me.	cousin: いとこ	家族／友人
niece and nephew	nis ænd ˈnɛfju	姪と甥	He bought toys for his niece and nephew.	My niece is three years old.	※1001番の重複。	家族／友人
generous in-laws	ˈdʒɛnərəs ˈɪnˌlɔz	寛大な義理の家族（義父母）	She is very lucky to have generous in-laws.	My in-laws are coming for dinner.	generous: 寛大な、気前の良い。in-laws: 義理の家族（配偶者の家族）。	家族／友人
talk back to him	tɔk bæk tu hɪm	彼に口答えする	You shouldn't talk back to him.	The teenager talked back to her mother.	talk back to: 〜に口答えする	家族／友人
talk him into agreeing	tɔk hɪm ˈɪntu əˈgriɪŋ	彼を説得して同意させる	She managed to talk him into agreeing.	I talked my friend into buying a car.	talk A into -ing: Aを説得して〜させる	大切な基本動詞
talk her out of quitting	tɔk hɜr aʊt ʌv ˈkwɪtɪŋ	彼女を説得して辞めるのを思いとどまらせる	I tried to talk her out of quitting her job.	We talked him out of going.	talk A out of -ing: Aを説得して〜するのをやめさせる	大切な基本動詞
talk over a problem	tɔk ˈoʊvər ə ˈprɑbləm	問題について話し合う	Let's talk over a problem during lunch.	They talked over the plans.	talk over: 〜についてじっくり話し合う	大切な基本動詞
talk the schedule through	tɔk ðə ˈskɛdʒuəl θru	スケジュールについて徹底的に話し合う	We need to talk the schedule through.	Let's talk this through before deciding.	talk through: 徹底的に話し合う、話し合って解決する	大切な基本動詞
turn against someone	tɜrn əˈgɛnst ˈsʌmˌwʌn	（人）に敵対する、背く	He would never turn against someone he loves.	The people turned against the king.	turn against: 〜に背く、反抗する	大切な基本動詞
turn away	tɜrn əˈweɪ	顔をそむける、追い払う	The movie was so scary that I had to turn away.	The guard turned away the visitors.	turn away: 背を向ける、追い返す	大切な基本動詞
turn down an invitation	tɜrn daʊn ən ˌɪnvɪˈteɪʃən	招待を断る	I had to turn down an invitation because I was busy.	He turned down the job offer.	turn down: （申し出などを）断る、（音量を）下げる	大切な基本動詞
turn out well	tɜrn aʊt wɛl	うまくいく、良い結果になる	I hope everything will turn out well.	The party turned out to be a success.	turn out: （結果的に）〜になる、判明する	大切な基本動詞
turn off the light	tɜrn ɔf ðə laɪt	明かりを消す	Don't forget to turn off the light before sleeping.	He turned off the TV.	turn off: （スイッチ・電源を）切る。反対語は turn on。	大切な基本動詞
turn on the air conditioner	tɜrn ɑn ði ɛr kənˈdɪʃənər	エアコンをつける	It's hot, so please turn on the air conditioner.	She turned on the radio.	air conditioner は AC と略されることが多い。	大切な基本動詞
turn over responsibilities	tɜrn ˈoʊvər riˌspɑnsəˈbɪlətiz	責任を引き継ぐ（譲り渡す）	It is time to turn over responsibilities to the next leader.	He turned over the business to his son.	turn over: 〜を譲り渡す、ひっくり返す	大切な基本動詞
turn to a friend for help	tɜrn tu ə frɛnd fɔr hɛlp	助けを求めて友人に頼る	You can always turn to a friend for help.	He had no one to turn to.	turn to: 〜に助けを求める、頼る	大切な基本動詞
turn up the volume	tɜrn ʌp ðə ˈvɑljum	音量を上げる	Can you turn up the volume a little bit?	He turned up the music.	turn up: 音量を上げる、姿を現す	大切な基本動詞
Keep off the grass.	kip ɔf ðə græs	芝生立ち入り禁止	The sign says, "Keep off the grass."	Please keep off the grass.	keep off: 〜に立ち入らない、〜を避ける	大切な基本動詞
Let's go Dutch.	lɛts goʊ dʌtʃ	割り勘にしよう。	We are both students, so let's go Dutch.	They decided to go Dutch for lunch.	go Dutch: 割り勘にする（split the bill と同義）。	定型表現
between you and me	bɪˈtwin ju ænd mi	ここだけの話だけど（内緒だけど）	Between you and me, I don't like him.	Keep this between you and me.	「あなたと私の間だけで」＝内緒話の決まり文句。	定型表現
to be honest with you	tu bi ˈɑnəst wɪð ju	正直に言うと	To be honest with you, I forgot your name.	To be honest with you, I hate this job.	会話のクッション言葉として非常によく使われる。	定型表現
She is out of my league.	ʃi ɪz aʊt ʌv maɪ lig	彼女は私には高嶺の花だ（レベルが違いすぎる）。	She is so beautiful and smart. She is out of my league.	That expensive car is out of my league.	out of one's league: 自分には釣り合わない、レベルが高すぎる	定型表現
Open 24 hours a day	ˈoʊpən ˈtwɛnti-fɔr ˈaʊərz ə deɪ	24時間営業	The convenience store is open 24 hours a day.	This gym is open 24 hours a day.	24/7 (twenty-four seven) とも言われる。	定型表現
Please speak more slowly.	pliz spik mɔr ˈsloʊli	もう少しゆっくり話してください。	I'm a beginner, so please speak more slowly.	Could you speak more slowly?	英会話の授業や外国人と話す時に必須のフレーズ。	定型表現
How do you spell it?	haʊ du ju spɛl ɪt	それはどう綴りますか（スペルは何ですか）？	My name is Siobhan. "How do you spell it?"	How do you spell your last name?	spell: 綴る（動詞）。	定型表現
What does account mean?	wʌt dʌz əˈkaʊnt min	accountはどういう意味ですか？	What does this word mean?	What does this symbol mean?	単語の意味を尋ねる基本フレーズ。	定型表現
Could you say that again?	kʊd ju seɪ ðæt əˈgɛn	もう一度言ってくださいますか？	I couldn't hear you. Could you say that again?	Pardon? Could you say that again?	相手の言葉を聞き返す時の丁寧な表現。	定型表現
Where's the restroom?	wɛrz ðə ˈrɛstˌrum	お手洗いはどこですか？	Excuse me, where's the restroom?	Do you know where the restroom is?	restroom はアメリカ英語の丁寧な表現（トイレ）。	定型表現
What's today's date?	wʌts təˈdeɪz deɪt	今日の日付は何日ですか？	What's today's date? Is it the 15th?	Do you know today's date?	曜日を聞く時は What day is it today?	定型表現
Guess what!	gɛs wʌt	あのね！（何だと思う？）	Guess what! I got a new job!	Guess what happened today!	相手の興味を引く時のカジュアルな表現。	定型表現
in other words	ɪn ˈʌðər wɜrdz	言い換えれば、つまり	In other words, you are fired.	He was broke; in other words, he had no money.	前に言ったことを分かりやすく説明し直す時に使う。	定型表現
for example	fɔr ɪgˈzæmpəl	例えば	You can eat fruits, for example, apples and bananas.	For example, look at this chart.	for instance と同じ意味。	定型表現
by and large	baɪ ænd lɑrdʒ	概して、大体において	By and large, it was a successful event.	The weather is, by and large, very good here.	全体的に見て（on the whole と同義）。	定型表現
Bless you.	blɛs ju	お大事に（くしゃみをした人に対して）。	Achoo! "Bless you."	Say "Bless you" when someone sneezes.	God bless you. の省略形。	定型表現
Sorry about that.	ˈsɑri əˈbaʊt ðæt	それはごめんなさい、悪かったね。	I bumped into you. Sorry about that.	I forgot to call you. Sorry about that.	軽い謝罪で使われるカジュアルな表現。	定型表現
Just a moment, please.	dʒʌst ə ˈmoʊmənt, pliz	少々お待ちください。	Just a moment, please. I will check.	Hold on a moment, please.	電話口や店先で待ってもらう時の定番。	定型表現
Make yourself comfortable.	meɪk jʊərˈsɛlf ˈkʌmfərtəbəl	くつろいでください。	Please sit down and make yourself comfortable.	Come in and make yourself comfortable.	Make yourself at home. とも言う。	定型表現
My treat.	maɪ trit	私のおごりです。	Put your wallet away. It's my treat.	Lunch is my treat today.	treat: おごり、もてなし。	定型表現
What a pity.	wʌt ə ˈpɪti	残念だ、かわいそうに。	You can't come to the party? What a pity.	It's such a pity that it rained.	pity: 哀れみ、残念なこと。	定型表現
What a shame.	wʌt ə ʃeɪm	なんて残念なんだ。	You lost your ticket? What a shame.	It's a shame that he failed.	shameは「恥」以外に「残念なこと」という意味がある。	定型表現
What's the matter?	wʌts ðə ˈmætər	どうしたの？（何か問題があるの？）	You look pale. What's the matter?	What's the matter with this machine?	相手の異変を気遣う時に使う。	定型表現
Never mind.	ˈnɛvər maɪnd	気にしないで（忘れて）。	I couldn't find the book, but never mind.	Never mind what I just said.	自分が言ったことを取り下げる時などにも使う。	定型表現
if you don't mind	ɪf ju doʊnt maɪnd	もしよろしければ、構わなければ	I'd like to open the window, if you don't mind.	If you don't mind, I will go first.	控えめに許可を求める表現。	定型表現
Would you mind	wʊd ju maɪnd	〜していただけませんか（〜すると嫌ですか？）	Would you mind closing the door?	Would you mind if I sit here?	mind: 嫌がる。Yes と答えると「嫌です(お断り)」になるので注意。	定型表現
It's up to you.	ɪts ʌp tu ju	あなた次第です（お任せします）。	Where should we eat? It's up to you.	The decision is up to you.	be up to: 〜次第である	定型表現
It doesn't matter.	ɪt ˈdʌzənt ˈmætər	問題ではありません、構いません。	It doesn't matter what color it is.	Don't worry, it doesn't matter.	matter は動詞で「重要である、問題である」。	定型表現
for your own sake	fɔr jʊər oʊn seɪk	あなた自身のために	You should quit smoking for your own sake.	He did it for his family's sake.	for one's sake: 〜のために、〜の利益のために	定型表現
Keep out	kip aʊt	立ち入り禁止	The sign on the door said "Keep out".	Keep out of this room.	keep out: 中に入れない、立ち入らない	定型表現
No entry	noʊ ˈɛntri	進入禁止	The road is closed. No entry.	It is a no entry zone.	entry: 入ること、入場	定型表現
as black as coal	æz blæk æz koʊl	石炭のように真っ黒な	His dog is as black as coal.	The night sky was as black as coal.	直喩（simile）の表現。coal: 石炭	定型表現
as flat as a pancake	æz flæt æz ə ˈpænˌkeɪk	パンケーキのように真っ平らな	The tire was as flat as a pancake.	The landscape is as flat as a pancake.	完全に平らであることを強調する表現。	いろいろな名詞
as smooth as silk	æz smuð æz sɪlk	絹のように滑らかな	Her hair is as smooth as silk.	The engine runs as smooth as silk.	smooth: 滑らかな。silk: 絹	いろいろな名詞
farther ahead	ˈfɑrðər əˈhɛd	さらに先へ	The gas station is a little farther ahead.	We walked farther ahead.	farther: さらに遠くへ（far の比較級）。	いろいろな名詞
cutting board	ˈkʌtɪŋ bɔrd	まな板	Chop the onions on the cutting board.	Wash the cutting board after cutting meat.	イギリス英語では chopping board。	いろいろな名詞
outlet	ˈaʊtˌlɛt	コンセント、出口	I need an outlet to charge my phone.	The water flowed out of the outlet.	コンセントは和製英語。イギリス英語では socket。	いろいろな名詞
ballpoint pen	ˈbɔlˌpɔɪnt pɛn	ボールペン	Please write your name with a ballpoint pen.	Can I borrow a ballpoint pen?	インクの先端にボールがついているペン。	いろいろな名詞
garbage can (米) / dustbin (英)	ˈgɑrbɪdʒ kæn / ˈdʌstˌbɪn	ゴミ箱	Throw the wrapper in the garbage can.	Put the rubbish in the dustbin.	アメリカ英語(garbage can / trash can)とイギリス英語(dustbin)の違い。	いろいろな名詞
zip code (米) / postal code (英)	zɪp koʊd / ˈpoʊstəl koʊd	郵便番号	What is your zip code?	Please write the postal code on the envelope.	アメリカ英語とイギリス英語の違い。	いろいろな名詞
a traditional custom	ə trəˈdɪʃənəl ˈkʌstəm	伝統的な習慣	Bowing is a traditional custom in Japan.	They follow a traditional custom.	traditional: 伝統的な。custom: 習慣、風習	いろいろな名詞
a pleasant companion	ə ˈplɛzənt kəmˈpænjən	楽しい仲間（同行者）	He was a pleasant companion on the trip.	Dogs are pleasant companions.	pleasant: 楽しい、心地よい。companion: 仲間、連れ	いろいろな名詞
a brave attempt	ə breɪv əˈtɛmpt	勇敢な試み	It was a brave attempt, but it failed.	She made a brave attempt to save him.	brave: 勇敢な。attempt: 試み、挑戦	いろいろな名詞
a dot on a map	ə dɑt ɑn ə mæp	地図上の点	The town is just a small dot on a map.	Put a dot on the paper.	dot: 点（ドット）。	いろいろな名詞
a rotten apple	ə ˈrɑtən ˈæpəl	腐ったリンゴ（不良分子）	One rotten apple spoils the barrel.	He is the rotten apple in the team.	rotten: 腐った。（集団の中の悪い人を指す比喩表現としても使う）	いろいろな名詞
a peculiar smell	ə pɪˈkjuljər smɛl	独特な（奇妙な）匂い	The cheese has a peculiar smell.	I noticed a peculiar smell in the room.	peculiar: 特有の、奇妙な	いろいろな名詞
a lump of clay	ə lʌmp ʌv kleɪ	粘土の塊	The potter shaped a lump of clay into a bowl.	He found a lump of clay.	lump: 塊。clay: 粘土	いろいろな名詞
a ball made of rubber	ə bɔl meɪd ʌv ˈrʌbər	ゴム製のボール	The dog likes playing with a ball made of rubber.	A ball made of rubber bounces well.	rubber: ゴム	いろいろな名詞
a fishing net	ə ˈfɪʃɪŋ nɛt	魚を捕る網	The fisherman cast a fishing net into the sea.	They repaired the torn fishing net.	net: 網	いろいろな名詞
a strong castle	ə strɔŋ ˈkæsəl	頑丈な城	The king built a strong castle.	A strong castle is hard to attack.	castle: 城（tは発音しない）。	いろいろな名詞
the deaf	ðə dɛf	耳が不自由な人々	Sign language is used by the deaf.	The school provides support for the deaf.	the + 形容詞: 〜な人々。deaf: 耳が聞こえない	いろいろな名詞
a pause in a discussion	ə pɔz ɪn ə dɪˈskʌʃən	議論の中断（休止）	There was a brief pause in a discussion.	He took a pause in a discussion to drink water.	pause: 小休止、間（ポーズ）。	いろいろな名詞
public affairs	ˈpʌblɪk əˈfɛrz	公務、時事問題	He is an expert in public affairs.	The minister deals with public affairs.	affair: 出来事、問題、事務。	いろいろな名詞
a music critic	ə ˈmjuzɪk ˈkrɪtɪk	音楽評論家	The music critic wrote a review of the concert.	He wants to be a music critic.	critic: 批評家、評論家（動詞形は criticize）。	いろいろな名詞
the black sheep of the family	ðə blæk ʃip ʌv ðə ˈfæməli	家族の厄介者	He has always been the black sheep of the family.	I am the black sheep of the family because I didn't go to college.	白い羊の中に一匹だけ混ざる黒い羊から、「変わり者、厄介者」の比喩。	いろいろな名詞
the laziest student in school	ðə ˈleɪziəst ˈstudənt ɪn skul	学校で一番怠け者の生徒	He is the laziest student in school.	Even the laziest student in school can pass if they try.	lazy: 怠け者の（比較変化 lazy - lazier - laziest）。	いろいろな名詞
an extraordinary talent	ən ɪkˈstrɔrdəˌnɛri ˈtælənt	並外れた才能	She possesses an extraordinary talent for piano.	He showed an extraordinary talent at a young age.	extraordinary: 異常な、並外れた（extra + ordinary）。	いろいろな名詞
the demon's evil deeds	ðə ˈdimənz ˈivəl didz	悪魔の邪悪な行い	Legends tell of the demon's evil deeds.	He was punished for his evil deeds.	demon: 悪魔。evil: 邪悪な。deed: 行い、行為	いろいろな名詞
deep in my soul	dip ɪn maɪ soʊl	私の魂の奥深くで	I knew it deep in my soul.	She felt the music deep in her soul.	soul: 魂、精神	いろいろな名詞
have a connecting flight	hæv ə kəˈnɛktɪŋ flaɪt	乗り継ぎ便がある	I have a connecting flight to New York.	Do we have a connecting flight?	connecting flight: 乗り継ぎ便。荷物が最終目的地まで行くか確認する時に必須。	実用旅行
fill out a customs form	fɪl aʊt ə ˈkʌstəmz fɔrm	税関申告書に記入する	Please fill out a customs form on the plane.	He forgot to fill out a customs form.	customs: 税関。fill out: （用紙に）記入する	実用旅行
claim my baggage at carousel 4	kleɪm maɪ ˈbægɪdʒ æt ˌkɛrəˈsɛl fɔr	4番の手荷物受取所で荷物を回収する	I need to claim my baggage at carousel 4.	We claimed our baggage quickly.	claim: 受け取る。carousel: 空港の荷物が回ってくるターンテーブル。	実用旅行
stow my carry-on	stoʊ maɪ ˈkæri-ɑn	機内持ち込み手荷物を収納する	Please stow my carry-on in the overhead bin.	He stowed his carry-on under the seat.	stow: しまう、収納する。carry-on: 機内持ち込み手荷物	実用旅行
go through security check	goʊ θru sɪˈkjʊrəti tʃɛk	保安検査を通過する	It takes time to go through security check.	We went through security check without any problems.	security check: 保安検査	実用旅行
an aisle seat or a window seat	ən aɪl sit ɔr ə ˈwɪndoʊ sit	通路側の席か窓側の席	Would you like an aisle seat or a window seat?	I always prefer an aisle seat.	aisle: 通路（sは発音しない）。	実用旅行
recline my seat	rɪˈklaɪn maɪ sit	座席を倒す	Can I recline my seat?	He reclined his seat to sleep.	recline: もたれる、倒す。後ろの人に一声かけるとスマート。	実用旅行
nothing to declare	ˈnʌθɪŋ tu dɪˈklɛr	申告するものはない	I have nothing to declare at customs.	He said he had nothing to declare.	税関で「関税がかかるような物は持っていない」と伝える鉄板フレーズ。	実用旅行
pick up my boarding pass	pɪk ʌp maɪ ˈbɔrdɪŋ pæs	搭乗券を受け取る	I will pick up my boarding pass at the counter.	She picked up her boarding pass.	boarding pass: 搭乗券（チケット）。	実用旅行
miss my flight	mɪs maɪ flaɪt	飛行機に乗り遅れる	I woke up late and missed my flight.	He almost missed his flight.	miss: 逃す、乗り遅れる	実用旅行
board the plane	bɔrd ðə pleɪn	飛行機に搭乗する	It is time to board the plane.	They are boarding the plane now.	board: （乗り物に）乗り込む	実用旅行
jet lag	dʒɛt læg	時差ぼけ	I am suffering from severe jet lag.	How do you get over jet lag?	jet lag: 時差ぼけ（I have jet lag. と言う）。	実用旅行
local time	ˈloʊkəl taɪm	現地時間	The local time is 10:00 AM.	Please adjust your watch to the local time.	local: 現地の	実用旅行
overhead bin	ˈoʊvərˌhɛd bɪn	（機内の）頭上の収納棚	Put your bag in the overhead bin.	The overhead bin was full.	bin: ふた付きの箱、収納棚	実用旅行
fasten your seatbelt	ˈfæsən jʊər ˈsitˌbɛlt	シートベルトを締める	Please fasten your seatbelt securely.	He fastened his seatbelt.	fasten: 締める、固定する（tは発音しない）。	実用旅行
a direct flight	ə dɪˈrɛkt flaɪt	直行便	I booked a direct flight to London.	A direct flight is more expensive.	direct: 直接の、直行の	実用旅行
call an Uber	kɔl ən ˈubər	Uber（配車）を呼ぶ	Let's call an Uber to get back to the hotel.	I called an Uber for you.	海外ではタクシーより配車アプリ（UberやLyft）が主流。	実用旅行
pop the trunk	pɑp ðə trʌŋk	トランクを開ける	Could you pop the trunk? I have luggage.	The driver popped the trunk for me.	pop: ポンと開ける。（運転手に外から「トランク開けて！」と頼む時のリアルな表現）	実用旅行
pull over right here	pʊl ˈoʊvər raɪt hɪr	ここで車を寄せて停める	Could you pull over right here?	The taxi pulled over right here.	pull over: （車を）路肩に寄せて停める（降りたい時の鉄板フレーズ）。	実用旅行
drop me off at the corner	drɑp mi ɔf æt ðə ˈkɔrnər	角で降ろす	Please drop me off at the corner.	He dropped her off at the station.	drop (人) off: （人）を車から降ろす	実用旅行
tap my card	tæp maɪ kɑrd	カードをタッチする	Just tap your card to pay.	I tapped my card on the reader.	日本の「ピッとする(タッチする)」は英語では tap を使う。	実用旅行
top up my transit card	tɑp ʌp maɪ ˈtrænsɪt kɑrd	交通系ICカードにチャージする	I need to top up my transit card.	He topped up his phone credit.	top up: お金をチャージする（chargeだと「請求する」という意味になってしまうので注意）。	実用旅行
get stuck in traffic	gɛt stʌk ɪn ˈtræfɪk	渋滞に巻き込まれる	We got stuck in traffic for an hour.	I am going to be late because I got stuck in traffic.	get stuck in: 〜から抜け出せなくなる	実用旅行
share a ride	ʃɛr ə raɪd	相乗りする	Let's share a ride to save money.	We shared a ride to the airport.	share a ride: タクシーなどを相乗りする	実用旅行
keep the meter running	kip ðə ˈmitər ˈrʌnɪŋ	メーターを回したままにする	I will be right back, keep the meter running.	He kept the meter running while I went inside.	ちょっと寄り道したい時などに使う表現。	実用旅行
split the fare	splɪt ðə fɛr	運賃（タクシー代など）を割り勘にする	Do you want to split the fare?	We split the fare evenly.	split: 分ける。fare: 運賃	実用旅行
Which platform does the train leave from?	wɪtʃ ˈplætˌfɔrm dʌz ðə treɪn liv frʌm	電車はどのホームから出ますか？	Excuse me, which platform does the train leave from?	I don't know which platform the train leaves from.	platform: 駅のホーム（homeとは言わない）。	実用旅行
I missed my stop.	aɪ mɪst maɪ stɑp	降りる駅（バス停）を乗り過ごした。	Oh no, I missed my stop.	He fell asleep and missed his stop.	stop: 停車駅、バス停	実用旅行
How much is the fare to the airport?	haʊ mʌtʃ ɪz ðə fɛr tu ði ˈɛrˌpɔrt	空港までの運賃はいくらですか？	Can you tell me how much is the fare to the airport?	How much is the fare to downtown?	乗る前に相場を確認する時に必須。	実用旅行
put my bags in the back	pʊt maɪ bægz ɪn ðə bæk	バッグを後ろ（トランクや後部座席）に入れる	Can I put my bags in the back?	He put his bags in the back of the car.		実用旅行
take a shortcut	teɪk ə ˈʃɔrtˌkʌt	近道をする	The driver took a shortcut to avoid traffic.	Let's take a shortcut through the park.	shortcut: 近道	実用旅行
Is this the right train for...?	ɪz ðɪs ðə raɪt treɪn fɔr	これは〜行きの（正しい）電車ですか？	Is this the right train for Central Station?	Is this the right bus for the museum?	乗る前に周りの人に確認する時の定番。	実用旅行
a round-trip ticket / a one-way ticket	ə raʊnd-trɪp ˈtɪkət / ə wʌn-weɪ ˈtɪkət	往復チケット / 片道チケット	I'd like a round-trip ticket to Boston.	She bought a one-way ticket to Paris.	round-trip: 往復。one-way: 片道	実用旅行
valid for 24 hours	ˈvæləd fɔr ˈtwɛnti-fɔr ˈaʊərz	24時間有効である	This pass is valid for 24 hours.	The ticket is valid for three days.	valid: 有効な	実用旅行
transfer to the red line	trænsˈfɜr tu ðə rɛd laɪn	レッドライン（地下鉄の路線）に乗り換える	You need to transfer to the red line at the next station.	He transferred to another bus.	transfer: 乗り換える	実用旅行
an express train	ən ɪkˈsprɛs treɪn	急行列車	Take an express train; it's much faster.	The express train doesn't stop here.	express: 急行の（普通列車は local train）。	実用旅行
leave my bags before check-in	liv maɪ bægz bɪˈfɔr tʃɛk-ɪn	チェックイン前に荷物を預ける	Can I leave my bags before check-in?	We left our bags at the hotel and went out.	「荷物を預かってくれますか？」の最も自然な言い回し。	実用旅行
under the name of Suzuki	ˈʌndər ðə neɪm ʌv suˈzuki	鈴木という名前で（予約している）	I have a reservation under the name of Suzuki.	The table is booked under the name of John.	under the name of: 〜という名義で	実用旅行
locked myself out	lɑkt maɪˈsɛlf aʊt	インキーしてしまった（外に閉め出された）	Help, I locked myself out of my room!	She locked herself out again.	オートロックのホテルで鍵を持たずに部屋を出てしまった大ピンチの時の表現。	実用旅行
The AC isn't working.	ði eɪ-si ˈɪzənt ˈwɜrkɪŋ	エアコンが動きません。	Excuse me, the AC isn't working in my room.	The Wi-Fi isn't working.	「〜 isn't working」で「〜が壊れている、機能しない」というクレームの万能型。	実用旅行
Can we get extra towels?	kæn wi gɛt ˈɛkstrə ˈtaʊəlz	タオルを余分にもらえますか？	Can we get extra towels sent to room 302?	Can we get extra pillows?	extra: 余分な、追加の	実用旅行
